CHEM_ID	COMP_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB	KEGG
30	39583	Lipid	Mevalonate Metabolism	HMDB0000227	C02104
49	1408	Amino Acid	Polyamine Metabolism	HMDB0001414	C00134
50	485	Amino Acid	Polyamine Metabolism	HMDB0001257	C00315
54	1527	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0011599	C02216
55	27665	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0000699	C02918
62	38395	Lipid	"Fatty Acid, Dihydroxy"	HMDB0004705	C14829
71	437	Amino Acid	Tryptophan Metabolism	HMDB0000763	C05635
72	37467	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0011616	C02353
74	37139	Nucleotide	"Purine Metabolism, Guanine containing"	HMDB0011629	C06194
93	528	Energy	TCA Cycle	HMDB0000208	C00026
98	1417	Amino Acid	Tryptophan Metabolism	HMDB0000715	C01717
112	531	Lipid	Mevalonate Metabolism	HMDB0000355	C03761
114	1413	Amino Acid	Phenylalanine Metabolism	HMDB0000440	C05593
136	22842	Lipid	Primary Bile Acid Metabolism	HMDB0000619	C00695
141	1416	Amino Acid	Glutamate Metabolism	HMDB0000112	C00334
144	541	Amino Acid	Phenylalanine Metabolism	HMDB0000020	C00642
158	1418	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	HMDB0000079	C00906
171	3127	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0000157	C00262
172	32352	Nucleotide	"Purine Metabolism, Guanine containing"	HMDB0000132	C00242
179	38399	Lipid	"Fatty Acid, Dihydroxy"	HMDB0004704	C14828
180	1105	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	"HMDB0006270,HMDB0000673"	C01595
181	1645	Lipid	Medium Chain Fatty Acid	HMDB0000638	C02679
182	1899	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0000232	C03722
189	1498	Amino Acid	Lysine Metabolism	HMDB0001325	C03793
192	37496	Amino Acid	Polyamine Metabolism	HMDB0002064	C02714
194	2829	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0001015	C03145
209	32342	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0000045	C00020
211	1553	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0000101	C00559
212	1419	Amino Acid	Polyamine Metabolism	HMDB0001173	C00170
213	37114	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0004044	
229	1110	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0001043	C00219
231	1638	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000517	C00062
232	15497	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000052	C03406
234	443	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000191	C00049
235	1432	Amino Acid	Phenylalanine Metabolism	HMDB0000669	C05852
240	32197	Amino Acid	Tyrosine Metabolism	HMDB0000755	C03672
241	566	Amino Acid	Phenylalanine Metabolism	HMDB0000205	C00166
244	55	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0000056	C00099
250	2137	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0001008	C00500
251	568	Cofactors and Vitamins	Biotin Metabolism	HMDB0000030	C00120
252	1437	Energy	TCA Cycle	HMDB0000254	C00042
254	542	Lipid	Ketone Bodies	"HMDB0000442,HMDB0000357,HMDB0000011"	"C03197,C01089"
266	63	Lipid	Sterol	HMDB0000067	C00187
267	34396	Lipid	Phospholipid Metabolism	HMDB0001565	C00588
275	513	Amino Acid	Creatine Metabolism	HMDB0000562	C00791
278	35637	Amino Acid	Glutathione Metabolism	HMDB0000078	C01419
279	56	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000192	C00491
282	2372	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	HMDB0000095	C00055
297	17747	Lipid	Sphingosines	HMDB0000252	C00319
298	533	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	HMDB0001202	C00239
302	1114	Lipid	Secondary Bile Acid Metabolism	HMDB0000626	C04483
310	15705	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000099	C02291
311	15128	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000742	C00155
313	17769	Lipid	Sphingolipid Synthesis	HMDB0000269	C00836
314	12125	Lipid	Long Chain Saturated Fatty Acid	HMDB0000944	C08281
327	2134	Cofactors and Vitamins	Riboflavin Metabolism	HMDB0001248	C00016
330	1643	Energy	TCA Cycle	HMDB0000134	C00122
338	587	Xenobiotics	Food Component/Plant	HMDB0000625	C00257
339	396	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000661	C00489
340	58	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0000123	C00037
342	18476	Lipid	Primary Bile Acid Metabolism	HMDB0000138	C01921
344	43802	Amino Acid	Creatine Metabolism	HMDB0000128	C00581
348	1411	Nucleotide	"Purine Metabolism, Guanine containing"	HMDB0000085	C00330
354	1574	Amino Acid	Histidine Metabolism	HMDB0000870	C00388
355	59	Amino Acid	Histidine Metabolism	HMDB0000177	C00135
358	590	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000965	C00519
361	1123	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0000195	C00294
363	1124	Lipid	Inositol Metabolism	HMDB0000211	C00137
376	1125	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000172	"C06418,C00407,C16424"
381	6146	Amino Acid	Lysine Metabolism	HMDB0000510	C00956
382	47089	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0002757	C00506
391	2132	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000904	C00327
392	1495	Amino Acid	Lysine Metabolism	HMDB0000279	C00449
397	60	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000687	C00123
405	1483	Lipid	Secondary Bile Acid Metabolism	HMDB0000761	C03990
407	1301	Amino Acid	Lysine Metabolism	HMDB0003405	"C00739,C00047"
409	1303	Energy	TCA Cycle	"HMDB0031518,HMDB0000156,HMDB0000744"	"C00149,C00711,C00497"
415	1302	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000696	C00073
418	1496	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	HMDB0000202	C02170
424	1336	Lipid	Long Chain Saturated Fatty Acid	HMDB0000220	C00249
432	594	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0001406	C00153
437	12035	Lipid	Medium Chain Fatty Acid	HMDB0000847	C01601
439	1358	Lipid	Long Chain Saturated Fatty Acid	HMDB0000827	C01530
444	1493	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000214	C00077
445	1505	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	HMDB0000226	C00295
452	33447	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0003229	C08362
460	64	Amino Acid	Phenylalanine Metabolism	HMDB0000159	C00079
461	42109	Energy	Oxidative Phosphorylation	HMDB0001429	C00009
